rank,country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption_perception,total_cases_apr30,peak_daily_new_cases,avg_daily_growth_rate,days_to_100_cases,cases_log,institutional_trust_index,social_resilience_index,economic_wellbeing_index,happiness_tier,gdp_per_capita_scaled,social_support_scaled,healthy_life_expectancy_scaled,freedom_scaled,generosity_scaled,corruption_perception_scaled,institutional_trust_index_scaled,social_resilience_index_scaled
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,6532.0,357.0,0.08873355085697728,57.0,8.78462153484075,0.28500000000000003,1.176,1.149,High (5.5–6.5),0.6823040380047506,0.8879310344827585,0.7770270270270271,0.8177496038034866,0.19257950530035337,0.11920529801324502,0.5538617886178862,0.8829076620825146
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,87187.0,7502.0,0.11490729278533741,51.0,11.375821985748404,0.238,1.1205,1.004,High (5.5–6.5),0.5961995249406176,0.8860837438423644,0.6727799227799228,0.6180665610142632,0.17491166077738518,0.1898454746136865,0.45833333333333326,0.8392927308447936
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,643.0,48.0,0.06533029016267024,59.0,6.467698726104354,0.3365,1.178,1.124,High (5.5–6.5),0.667458432304038,0.9020935960591132,0.7586872586872587,0.8288431061806657,0.22438162544169613,0.3311258278145695,0.6585365853658536,0.8844793713163063
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,16169.0,1426.0,0.09788800962193082,38.0,9.690912952571152,0.5045000000000001,1.302,1.572,High (5.5–6.5),0.9334916864608076,0.9008620689655171,1.0,0.8811410459587956,0.47879858657243823,0.9999999999999999,1.0,0.9819253438113948
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,395.0,32.0,0.06041832536620687,78.0,5.981414211254481,0.252,1.0155,0.794,High (5.5–6.5),0.47149643705463185,0.7647783251231526,0.6602316602316602,0.6814580031695721,0.16431095406360424,0.16335540838852095,0.4867886178861788,0.7567779960707268
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,205463.0,6557.0,0.12356592035444881,32.0,12.233026115090432,0.1305,1.2635,1.294,High (5.5–6.5),0.7684085510688836,0.9162561576354679,0.9015444015444014,0.3660855784469097,0.27915194346289757,0.0662251655629139,0.2398373983739837,0.9516699410609036
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,3040.0,301.0,0.08100951199674106,48.0,8.019941687677365,0.323,1.1195,1.362,High (5.5–6.5),0.8087885985748219,0.8423645320197044,0.7393822393822393,0.8494453248811411,0.4505300353356891,0.24282560706401762,0.6310975609756097,0.8385068762278977
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,1396.0,114.0,0.07315234706320163,56.0,7.242082359256962,0.17400000000000002,1.1925,1.246,High (5.5–6.5),0.7399049881235155,0.9261083743842363,0.7490347490347491,0.5293185419968305,0.21378091872791521,0.030905077262693155,0.3282520325203252,0.8958742632612965
39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,116.0,40.0,0.04810276701815915,73.0,4.762173934797756,0.2525,1.095,1.231,High (5.5–6.5),0.7309976247030879,0.9094827586206896,0.5868725868725868,0.7749603803486529,0.32685512367491165,0.035320088300220744,0.4878048780487805,0.8192534381139488
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,12877.0,545.0,0.09558864351614271,52.0,9.463275708098129,0.2665,1.161,1.206,High (5.5–6.5),0.7161520190023752,0.8854679802955664,0.7519305019305019,0.7654516640253566,0.20671378091872794,0.11037527593818984,0.516260162601626,0.8711198428290765
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,2039.0,167.0,0.07697681905897234,66.0,7.620705086838262,0.4355,1.1425,0.745,High (5.5–6.5),0.44239904988123513,0.941502463054187,0.6283783783783784,1.0,0.568904593639576,0.5298013245033112,0.8597560975609755,0.8565815324165029
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,1449.0,90.0,0.07352847308499616,60.0,7.27931883541462,0.16649999999999998,1.1664999999999999,1.238,High (5.5–6.5),0.7351543942992874,0.9328817733990146,0.6882239382239381,0.4611727416798732,0.07597173144876325,0.09271523178807946,0.31300813008130074,0.8754420432220037
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,6507.0,353.0,0.08869482291251443,57.0,8.780787468338929,0.252,1.1255,0.985,High (5.5–6.5),0.584916864608076,0.8682266009852215,0.7104247104247104,0.7448494453248811,0.17491166077738518,0.07505518763796909,0.4867886178861788,0.8432220039292729
